Rank,Name,Age,Net_Worth,Income Source,Residence,Citizenship,Marital Status,Children,Education,Image,Profile Link
32 ,Pankaj Patel,69,$3.9B,pharmaceuticals,"Ahmedabad, India",India,Married,2,"Bachelor of Arts/Science, Gujarat University; Master of Science, Gujarat University",https://specials-images.forbesimg.com/imageserve/59cc2248a7ea434a34f46dd8/832x832.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=185&cropY2=1386,https://www.forbes.com//profile/pankaj-patel/?list=india-billionaires
33 ,Kapil & Rahul Bhatia,"airlines, Self Made",$5B,"Delhi, India",India,"Bachelor of Science in Engineering, University of Waterloo",,,,https://specials-images.forbesimg.com/imageserve/6157649479b0f77ba4235c55/832x832.jpg?background=000000&cropX1=864&cropX2=3437&cropY1=0&cropY2=2573,https://www.forbes.com//profile/kapil-rahul-bhatia/?list=india-billionaires
34 ,Singh family,pharmaceuticals,$5.65B,"Mumbai, India",India,,,,,https://specials-images.forbesimg.com/imageserve/615765e9449ba9a97e235c55/832x832.jpg?background=000000&cropX1=191&cropX2=2376&cropY1=118&cropY2=2305,https://www.forbes.com//profile/singh/?list=india-billionaires
35 ,Vikram Lal,80,$6B,motorcycles,"Delhi, India",India,Married,3,,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/832x832.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,https://www.forbes.com//profile/vikram-lal/?list=india-billionaires
36 ,Rakesh Jhunjhunwala,"investments, Self Made",$5.5B,India,3,"Chartered Accountant, The Institute of Chartered Accountants of India; B.Com, University of Mumbai",,,,https://specials-images.forbesimg.com/imageserve/5bad50cea7ea4342a948e250/832x832.jpg?background=000000&cropX1=1355&cropX2=3450&cropY1=105&cropY2=2198,https://www.forbes.com//profile/rakesh-jhunjhunwala/?list=india-billionaires
37 ,Ajay Piramal,67,$2.7B,pharmaceuticals,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai",https://specials-images.forbesimg.com/imageserve/5e765d3810380d0006fbb1a9/832x832.jpg?background=000000&cropX1=648&cropX2=1642&cropY1=68&cropY2=1061,https://www.forbes.com//profile/ajay-piramal/?list=india-billionaires
38 ,M.A. Yusuff Ali,66,$5B,"retail, Self Made","Abu Dhabi, United Arab Emirates",India,Married,3,,https://specials-images.forbesimg.com/imageserve/5d9f4c3a67dd830006a3211e/832x832.jpg?background=000000&cropX1=669&cropX2=1625&cropY1=281&cropY2=1238,https://www.forbes.com//profile/ma-yusuff-ali/?list=india-billionaires
39 ,Shyam & Hari Bhartia,69,$4.95B,diversified,"Delhi, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/5d9f5bb64223bf0006b82a18/832x832.jpg?background=000000&cropX1=324&cropX2=1762&cropY1=7&cropY2=1444,https://www.forbes.com//profile/shyam-hari-bhartia/?list=india-billionaires
40 ,Ravi Jaipuria,67,$8B,"soft drinks, fast food","Delhi, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/61576dd5657c72d8c6ca2f35/832x832.jpg?background=000000&cropX1=0&cropX2=377&cropY1=0&cropY2=377,https://www.forbes.com//profile/ravi-jaipuria/?list=india-billionaires
41 ,Murugappa Family,diversified,$4.7B,"Chennai, India",India,,,,,https://specials-images.forbesimg.com/imageserve/5bb615de31358e4b20812565/832x832.jpg?background=000000&cropX1=0&cropX2=3164&cropY1=113&cropY2=3276,https://www.forbes.com//profile/murugappa-family/?list=india-billionaires
42 ,Mangal Prabhat Lodha,66,$4.6B,"real estate, Self Made","Mumbai, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/5e76921dc7b02d000666cfcc/832x832.jpg?background=000000&cropX1=364&cropX2=1902&cropY1=187&cropY2=1726,https://www.forbes.com//profile/mangal-prabhat-lodha/?list=india-billionaires
43 ,Leena Tewari,65,$3.7B,pharmaceuticals,"Mumbai, India",India,Married,2,"Master of Business Administration, Boston University; B.Com, University of Mumbai",https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/832x832.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,https://www.forbes.com//profile/leena-tewari/?list=india-billionaires
44 ,N.R. Narayana Murthy,76,$4.6B,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Indian Institute of Technology",https://specials-images.forbesimg.com/imageserve/5e769955c7b02d000666d027/832x832.jpg?background=000000&cropX1=1797&cropX2=2798&cropY1=870&cropY2=1870,https://www.forbes.com//profile/nr-narayana-murthy/?list=india-billionaires
45 ,Nusli Wadia,78,$3.6B,consumer goods,"Mumbai, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/61577562cdbe90edf1235c55/832x832.jpg?background=000000&cropX1=0&cropX2=1684&cropY1=369&cropY2=2053,https://www.forbes.com//profile/nusli-wadia/?list=india-billionaires
46 ,Karsanbhai Patel,78,$3B,"consumer goods, Self Made","Ahmedabad, India",India,Married,3,,https://specials-images.forbesimg.com/imageserve/5c79a9284bbe6f0e1f1f6878/832x832.jpg?background=000000&cropX1=1022&cropX2=2137&cropY1=280&cropY2=1396,https://www.forbes.com//profile/karsanbhai-patel/?list=india-billionaires
47 ,Byju Raveendran and Divya Gokulnath,42,$4.05B,"edtech, Self Made","Bangalore, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/615776df814f16d292235c55/832x832.jpg?background=000000&cropX1=0&cropX2=3313&cropY1=0&cropY2=3313,https://www.forbes.com//profile/byju-raveendran-and-divya-gokulnath-1/?list=india-billionaires
48 ,Senapathy Gopalakrishnan,67,$3.4B,"software services, Self Made","Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology",https://specials-images.forbesimg.com/imageserve/5e76a94ed8e1ae0007b724cc/832x832.jpg?background=000000&cropX1=239&cropX2=1918&cropY1=59&cropY2=1739,https://www.forbes.com//profile/senapathy-gopalakrishnan/?list=india-billionaires
49 ,Vivek Chaand Sehgal,65,$3.6B,"auto parts, Self Made","Delhi, India",Australia,Married,2,"Bachelor of Arts/Science, Delhi University",https://specials-images.forbesimg.com/imageserve/603eab25a5f320822476aba3/832x832.jpg?background=000000&cropX1=1222&cropX2=2117&cropY1=106&cropY2=1001,https://www.forbes.com//profile/vivek-chaand-sehgal/?list=india-billionaires
50 ,Arvind Poddar,64,$3.97B,tires,"Mumbai, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/59cc1d9b31358e542c02fcb0/832x832.jpg?background=000000&cropX1=43&cropX2=2087&cropY1=141&cropY2=2185,https://www.forbes.com//profile/arvind-poddar-1/?list=india-billionaires
51 ,Yusuf Hamied,86,$3.95B,pharmaceuticals,"Mumbai, India",India,Married,"Master of Science, Cambridge University; Ph.D, Cambridge University",,https://specials-images.forbesimg.com/imageserve/58a2300631358e1a35ab4f8f/832x832.jpg?background=000000&cropX1=116&cropX2=604&cropY1=5&cropY2=493,https://www.forbes.com//profile/yusuf-hamied-1/?list=india-billionaires
52 ,Sanjeev Bikhchandani,59,$3.91B,"internet, Self Made","Delhi, India",India,Married,2,"Master of Business Administration, Indian Institute of Management, Ahmedabad; Bachelor of Arts/Science, St Stephen's College (India)",https://specials-images.forbesimg.com/imageserve/615778eea661dead59ca2f35/832x832.jpg?background=000000&cropX1=1025&cropX2=2688&cropY1=35&cropY2=1698,https://www.forbes.com//profile/sanjeev-bikhchandani-1/?list=india-billionaires
53 ,Kiran Mazumdar-Shaw,69,$2.9B,"biopharmaceuticals, Self Made","Bangalore, India",India,Married,"Bachelor of Arts/Science, Bangalore University; Master of Science, Melbourne University",,https://specials-images.forbesimg.com/imageserve/5deec3bf25ab5d000700aa1a/832x832.jpg?background=000000&cropX1=136&cropX2=637&cropY1=0&cropY2=500,https://www.forbes.com//profile/kiran-mazumdar-shaw/?list=india-billionaires
54 ,Pawan Munjal,68,$3.5B,motorcycles,"Delhi, India",India,Married,3,,https://specials-images.forbesimg.com/imageserve/61577a2fb93d451f20ca2f35/832x832.jpg?background=000000&cropX1=0&cropX2=1683&cropY1=0&cropY2=1683,https://www.forbes.com//profile/pawan-munjal/?list=india-billionaires
55 ,Sridhar Vembu & Siblings,54,$3.75B,"business software, Self Made","Pleasanton, California",India,Married,1,,https://specials-images.forbesimg.com/imageserve/5d9f63374223bf0006b82b0e/832x832.jpg?background=000000&cropX1=606&cropX2=1694&cropY1=237&cropY2=1326,https://www.forbes.com//profile/sridhar-vembu-siblings/?list=india-billionaires
56 ,Salil Singhal,75,$3.65B,agrochemicals,"Delhi, India",India,Married,3,,https://specials-images.forbesimg.com/imageserve/61577aa14e19d73a0a235c57/832x832.jpg?background=000000&cropX1=240&cropX2=977&cropY1=82&cropY2=820,https://www.forbes.com//profile/salil-singhal/?list=india-billionaires
57 ,Inder Jaisinghani,69,$3.6B,"cables & wires, Self Made","Mumbai, India",India,,,,https://specials-images.forbesimg.com/imageserve/61577bf3db6d8e8a91ca2f35/832x832.jpg?background=000000&cropX1=1486&cropX2=2774&cropY1=885&cropY2=2173,https://www.forbes.com//profile/inder-jaisinghani/?list=india-billionaires
58 ,Ramesh Juneja,67,$3.5B,"pharmaceuticals, Self Made","Delhi, India",India,Married,,,https://specials-images.forbesimg.com/imageserve/615c5f88c0f3cc35c238db8e/832x832.jpg?background=000000&cropX1=232&cropX2=1176&cropY1=73&cropY2=1017,https://www.forbes.com//profile/ramesh-juneja/?list=india-billionaires
59 ,Arun Bharat Ram,81,$3.8B,chemicals,"Delhi, India",India,Widowed,3,"Bachelor of Science in Engineering, University of Michigan",https://specials-images.forbesimg.com/imageserve/615b1e38fc9eb8d15779c049/832x832.jpg?background=000000&cropX1=315&cropX2=1943&cropY1=295&cropY2=1922,https://www.forbes.com//profile/arun-bharat-ram/?list=india-billionaires
60 ,Yadu Hari Dalmia,75,$2.3B,cement,"Delhi, India",India,Married,2,"Bachelor of Commerce, Delhi University; Chartered Accountant, Institute of Chartered Accountants of India",https://specials-images.forbesimg.com/imageserve/615b1f1a66f988bcda75d1f6/832x832.jpg?background=000000&cropX1=0&cropX2=1009&cropY1=31&cropY2=1039,https://www.forbes.com//profile/yadu-hari-dalmia/?list=india-billionaires
61 ,Nandan Nilekani,67,$2.9B,"software services, Self Made","Bangalore, India",India,Married,2,"Bachelor of Arts/Science, Indian Institute of Technology",https://specials-images.forbesimg.com/imageserve/5e7696f910380d0006fbb539/832x832.jpg?background=000000&cropX1=980&cropX2=2384&cropY1=1081&cropY2=2484,https://www.forbes.com//profile/nandan-nilekani/?list=india-billionaires
62 ,Micky Jagtiani,70,$3B,retail,"Dubai, United Arab Emirates",India,Married,3,,https://specials-images.forbesimg.com/imageserve/5c707eb54bbe6f65d4665798/832x832.jpg?background=000000&cropX1=237&cropX2=678&cropY1=0&cropY2=441,https://www.forbes.com//profile/micky-jagtiani/?list=india-billionaires
63 ,Anil Agarwal,69,$1.9B,"mining, metals, Self Made","London, United Kingdom",India,Married,2,,https://specials-images.forbesimg.com/imageserve/5bad4b4ba7ea4342a948e153/832x832.jpg?background=000000&cropX1=1474&cropX2=3554&cropY1=126&cropY2=2207,https://www.forbes.com//profile/anil-agarwal/?list=india-billionaires
64 ,Sandeep Engineer,61,$3.22B,"plastic pipes, Self Made","Ahmedabad, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/615c611f4e6850861675d1fd/832x832.jpg?background=000000&cropX1=0&cropX2=1489&cropY1=0&cropY2=1490,https://www.forbes.com//profile/sandeep-engineer-1/?list=india-billionaires
65 ,Chandru Raheja,81,$3.9B,real estate,"Mumbai, India",India,Married,2,"LLB, University of Mumbai",https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/832x832.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,https://www.forbes.com//profile/chandru-raheja/?list=india-billionaires
66 ,Abhay Firodia,77,$3B,automobiles,"Pune, India",India,Married,4,,https://specials-images.forbesimg.com/imageserve/5d9f59e9793bd50006ea45cd/832x832.jpg?background=000000&cropX1=411&cropX2=707&cropY1=27&cropY2=323,https://www.forbes.com//profile/abhay-firodia/?list=india-billionaires
67 ,Baba Kalyani,73,$2.7B,engineering,"Pune, India",India,Married,1,"Master of Science, Massachusetts Institute of Technology",https://specials-images.forbesimg.com/imageserve/615b208454b2c7e9a7f49baa/832x832.jpg?background=000000&cropX1=330&cropX2=1268&cropY1=195&cropY2=1132,https://www.forbes.com//profile/baba-kalyani/?list=india-billionaires
68 ,R.G. Chandramogan,73,$2.1B,"dairy, Self Made","Chennai, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/5a8f033d4bbe6f0fa82645d1/832x832.jpg?background=000000&cropX1=178&cropX2=3434&cropY1=600&cropY2=3859,https://www.forbes.com//profile/rg-chandramogan/?list=india-billionaires
69 ,Reddy Family,pharmaceuticals,$3.01B,"Hyderabad, India",India,,,,,https://specials-images.forbesimg.com/imageserve/5d9f6c234223bf0006b82be0/832x832.jpg?background=000000&cropX1=783&cropX2=3446&cropY1=6&cropY2=2667,https://www.forbes.com//profile/reddy-family/?list=india-billionaires
