Title,Company,Rating,Experience,Salary,Rating of Company,Location,Skill_Set,Link,Review_page_company
Dataiku Consultant,Wipro,,10-16 Yrs ,Not disclosed,(26746 Reviews),"Pune, Chennai, Bangalore/Bengaluru",Data RobotDataikuIT SkillsPythonData ScienceCloudBig DataJenkins,https://www.naukri.com/job-listings-dataiku-consultant-wipro-limited-pune-chennai-bangalore-bengaluru-10-to-16-years-060722005045,https://www.ambitionbox.com/reviews/wipro-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Senior Data Scientist,Morningstar,,3-5 Yrs ,Not disclosed,(412 Reviews),Mumbai,MS SQLXMLArtificial IntelligenceMachine learningAgileData collectiontest driven developmentDownstream,https://www.naukri.com/job-listings-senior-data-scientist-morningstar-india-p-ltd-mumbai-3-to-5-years-190822502167,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Lead Data Scientist,Morningstar,,6-8 Yrs ,Not disclosed,(412 Reviews),Mumbai,PrototypeTeam managementXMLArtificial IntelligenceAgileData structuresDownstreamSQL,https://www.naukri.com/job-listings-lead-data-scientist-morningstar-india-p-ltd-mumbai-6-to-8-years-190822502166,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Senior Manager Data Science,Pfizer,,6-11 Yrs ,Not disclosed,(4810 Reviews),Mumbai,Qualitative researchBusiness administrationBusiness transformationdata scienceBusiness analyticsAnalyticalBrand marketingMachine learning,https://www.naukri.com/job-listings-senior-manager-data-science-pfizer-limited-mumbai-6-to-11-years-180822503336,https://www.ambitionbox.com/reviews/pfizer-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Data Scientist with Payments,TATA CONSULTANCY SERVICES (TCS),,4-9 Yrs ,Not disclosed,(45975 Reviews),"Kolkata, Chennai, Mumbai (All Areas)",pythonmachine learningcommunicationSLQIT SkillsTestingartificial neural networkspayment processing,https://www.naukri.com/job-listings-data-scientist-with-payments-tata-consultancy-services-ltd-kolkata-chennai-mumbai-all-areas-4-to-9-years-040822009909,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Data Scientist - A.P. Maersk,Maersk,,"17,00,000 - 25,00,000 PA. (Including Variable: 10.0%) ","17,00,000 - 25,00,000 PA. (Including Variable: 10.0%)",(2237 Reviews),Bangalore/Bengaluru(WFH during Covid),CelonisPower BiProcess MiningpythonRUXSASUI,https://www.naukri.com/job-listings-data-scientist-a-p-maersk-maersk-global-service-centres-india-private-limited-bangalore-bengaluru-5-to-10-years-290322004866,https://www.ambitionbox.com/reviews/maersk-global-service-centres-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Staff Data Scientist (Operations Research),Walmart,,9-14 Yrs ,Not disclosed,(11992 Reviews),Bangalore/Bengaluru,BiqQueryGurobiAzurecommunicationMachine learningSQLSciencePython,https://www.naukri.com/job-listings-staff-data-scientist-operations-research-walmart-labs-bangalore-bengaluru-9-to-14-years-170822501269,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Senior Data Scientist,Walmart,,8-13 Yrs ,Not disclosed,(11992 Reviews),Bangalore/Bengaluru,ProcurementCloud computingAutomationData analysisdata scienceDb2CodingAgile,https://www.naukri.com/job-listings-senior-data-scientist-walmart-labs-bangalore-bengaluru-8-to-13-years-170822501256,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Principal Data Scientist,Walmart,,12-15 Yrs ,Not disclosed,(11992 Reviews),Bangalore/Bengaluru,IT SkillsPythonTestingData ScienceMachine LearningBig DataSupply chainData analysis,https://www.naukri.com/job-listings-principal-data-scientist-walmart-labs-bangalore-bengaluru-12-to-15-years-170822501254,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Data Scientist,Concentrix,,7-12 Yrs ,Not disclosed,(14716 Reviews),Bangalore/Bengaluru,Text Miningmachine learningSQLNLPPythonLogistic RegressionNatural Language ProcessingStatistics,https://www.naukri.com/job-listings-data-scientist-concentrix-daksh-services-india-private-limited-bangalore-bengaluru-7-to-12-years-150822001537,https://www.ambitionbox.com/reviews/concentrix-corporation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
BCAI - Senior Data Scientist,Bosch Global Software Technologies,,5-8 Yrs ,Not disclosed,(2248 Reviews),Bangalore/Bengaluru,PythonSupply chainComputer visionCodingDjangoMachine learningBusiness solutionsForecasting,https://www.naukri.com/job-listings-bcai-senior-data-scientist-bosch-global-software-technologies-private-limited-ivate-limited-bangalore-bengaluru-5-to-8-years-120822906900,https://www.ambitionbox.com/reviews/bosch-global-software-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Data Scientist,Bosch Global Software Technologies,,4-9 Yrs ,Not disclosed,(2248 Reviews),Bangalore/Bengaluru,machine learningmatlabdeep learningpythondata sciencetime seriesalgorithm developmentanomaly detection,https://www.naukri.com/job-listings-data-scientist-bosch-global-software-technologies-private-limited-ivate-limited-bangalore-bengaluru-4-to-9-years-120822906841,https://www.ambitionbox.com/reviews/bosch-global-software-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Forecasting Analyst/ Data Scientist (US Client),Concentrix,,Not disclosed ,Not disclosed,(14716 Reviews),"Gurgaon/Gurugram, Bangalore/Bengaluru(WFH during Covid)",R studioPythonFORECAST MODELLINGArimaRegressionForecastingContact CenterTime Series Analysis,https://www.naukri.com/job-listings-forecasting-analyst-data-scientist-us-client-concentrix-daksh-services-india-private-limited-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-070821002178,https://www.ambitionbox.com/reviews/concentrix-corporation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Cloud Datascience Engineer,Oracle,,9-14 Yrs ,Not disclosed,(3743 Reviews),"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",data scienceText Analytics,https://www.naukri.com/job-listings-cloud-datascience-engineer-oracle-india-pvt-ltd-noida-hyderabad-secunderabad-bangalore-bengaluru-9-to-14-years-150622003232,https://www.ambitionbox.com/reviews/oracle-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Python/PySpark Engineer (Azure),Hexaware Technologies,,"10,00,000 - 20,00,000 PA. ","10,00,000 - 20,00,000 PA.",(2946 Reviews),"Pune, Chennai, Mumbai (All Areas)(WFH during Covid)",PysparkAzurePythonSQL,https://www.naukri.com/job-listings-python-pyspark-engineer-azure-hexaware-technologies-ltd-pune-chennai-mumbai-all-areas-5-to-10-years-020822009516,https://www.ambitionbox.com/reviews/hexaware-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Data Scientist,ZS Associates,,5-8 Yrs ,Not disclosed,(836 Reviews),"New Delhi, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",IT SkillsJavaPythonSoftware DevelopmentTestingData ScienceMachine Learning,https://www.naukri.com/job-listings-data-scientist-zs-associates-new-delhi-pune-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-5-to-8-years-170822001728,https://www.ambitionbox.com/reviews/zs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
"Data Scientist - Finolex Cables Ltd - Pimpri, Pune",Finolex Cables,,5-10 Yrs ,Not disclosed,(487 Reviews),"Pimpri-Chinchwad, Pune",Data AnalysisPythonTensorflowMultivariate AnalysisRDBMSMicrosoft Azure,https://www.naukri.com/job-listings-data-scientist-finolex-cables-ltd-pimpri-pune-finolex-cables-ltd-pimpri-chinchwad-pune-5-to-10-years-220822000796,https://www.ambitionbox.com/reviews/finolex-cables-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Data Scientist/Senior Data Scientist - R&D,ICERTIS Solutions,,10-11 Yrs ,Not disclosed,(133 Reviews),Pune,IT SkillsPythonData ScienceMachine LearningArtificial IntelligenceCloudText miningCloud computing,https://www.naukri.com/job-listings-data-scientist-senior-data-scientist-r-d-icertis-solutions-pune-10-to-11-years-190822502591,https://www.ambitionbox.com/reviews/icertis-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
