Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
TATA CONSULTANCY SERVICES (TCS),Data Scientist Lead_Tata Consultancy Services(Tcs),"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-12 Yrs ,Not disclosed,Avg. Salary - ₹21.6 Lakhs,UG :Any Graduate,,(45909 Reviews),"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",PythonR ProgrammingIT SkillsData Sciencedata scientist,https://www.naukri.com/job-listings-data-scientist-lead-tata-consultancy-services-tcs-tata-consultancy-services-ltd-kolkata-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-12-years-190822001529,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Pelatro Solutions,Opening_ Data Scientist_ Pelatro Solutions,"['RoleData Scientist', 'Industry TypeTelecom / ISP', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-12 Yrs ,Not disclosed,,"UG :B.Sc in Maths, Statistics, B.Tech/B.E. in Any Specialization",,(14 Reviews),"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data Scienceteam managementpythonpredictive modelingMachine LearningSQL,https://www.naukri.com/job-listings-opening-data-scientist-pelatro-solutions-pelatro-solutions-pvt-ltd-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-8-to-12-years-180822001698,https://www.ambitionbox.com/reviews/pelatro-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Affine   ,Affine- Hiring For Data Science  - Work from Home,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-7 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate,,(56 Reviews),"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",statistical modelsMachine LearningPythonRegressionGlm,https://www.naukri.com/job-listings-affine-hiring-for-data-science-work-from-home-affine-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-7-years-170822009934,https://www.ambitionbox.com/reviews/affine-analytics-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Hinduja Global Solutions (HGS),Data Scientist  - MNC Bank- Mumbai (3rd Party payroll),"['RoleData Scientist', 'Industry TypeBanking', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,"7,00,000 - 17,00,000 PA.",Avg. Salary - ₹8.1 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(5992 Reviews),Mumbai (All Areas),TableauData AnalyticsMachine LearningPythonSASData ExtractionSPSS,https://www.naukri.com/job-listings-data-scientist-mnc-bank-mumbai-3rd-party-payroll-hinduja-global-solutions-limited-mumbai-all-areas-3-to-8-years-270622605057,https://www.ambitionbox.com/reviews/hinduja-global-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Cipla,Data Scientist | CIPLA,"['RoleData Scientist', 'Industry TypePharmaceutical & Life Sciences', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,Avg. Salary - ₹10.4 Lakhs,UG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersDoctorate :Any Doctorate,,(4696 Reviews),Mumbai (All Areas),GoogleAzureHadoopBig DataAWSsql server,https://www.naukri.com/job-listings-data-scientist-cipla-cipla-ltd-mumbai-all-areas-4-to-9-years-250722006871,https://www.ambitionbox.com/reviews/cipla-pharmaceutical-ltd-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Capgemini,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,Avg. Salary - ₹8.4 Lakhs,UG :Any GraduatePG :Post Graduation Not Required,,(22625 Reviews),Mumbai,SASCodingAnalyticalAnalyticsSQLIT SkillsPythonTesting,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-mumbai-4-to-9-years-030822900017,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,Manager-Insights & Intelligence,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",13-18 Yrs ,Not disclosed,Avg. Salary - ₹25.6 Lakhs,UG :Any GraduatePG :MBA/PGDM,,(30728 Reviews),Mumbai,AutomationPublishingProcess improvementConsultingAnalyticsIT SkillsPythonData Science,https://www.naukri.com/job-listings-manager-insights-intelligence-accenture-solutions-pvt-ltd-mumbai-13-to-18-years-290722916021,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
MSD Pharmaceuticals,Senior Manager - Advanced Data and Analytics,"['RoleData Scientist', 'Industry TypePharmaceutical & Life Sciences', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,Avg. Salary - ₹27.1 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(227 Reviews),Mumbai,CVSdigital analyticsStatistical modelingMachine learningStrategic planningHealthcareRegression analysisdata visualization,https://www.naukri.com/job-listings-senior-manager-advanced-data-and-analytics-msd-pharmaceuticals-private-limited-mumbai-5-to-10-years-210622501015,https://www.ambitionbox.com/reviews/msd-pharmaceuticals-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Morningstar,Data Scientist,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,Avg. Salary - ₹13 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(410 Reviews),Mumbai,UnixLinuxImage processingBusiness analyticsMySQLMachine learningData structuresSystem design,https://www.naukri.com/job-listings-data-scientist-morningstar-india-p-ltd-mumbai-3-to-8-years-210622500970,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Morningstar,Lead Data Scientist,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-8 Yrs ,Not disclosed,Avg. Salary - ₹23.1 Lakhs,UG :B.Tech/B.E. in Production/IndustrialPG :Any Postgraduate,,(410 Reviews),Mumbai,Computer sciencePrototypeTeam managementXMLArtificial IntelligenceAgileData structuresDownstream,https://www.naukri.com/job-listings-lead-data-scientist-morningstar-india-p-ltd-mumbai-6-to-8-years-200622501378,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
