Expected Average Salary,Role,Education
Avg. Salary - ₹22.3 Lakhs,"['RoleData Scientist', 'Industry TypeAutomobile', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :MS/M.Sc(Science)
Avg. Salary - ₹11.4 Lakhs,"['RoleData Scientist', 'Industry TypeAutomobile', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in ComputersPG :M.Tech in Computers
,"['RoleData Scientist', 'Industry TypeBPO / Call Centre', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
Avg. Salary - ₹17.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
,,
Avg. Salary - ₹15.8 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate
,"['RoleData Scientist', 'Industry TypeIndustrial Equipment / Machinery', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :Any GraduatePG :MCM in Computers and Management, MCA in Computers"
Avg. Salary - ₹18.4 Lakhs,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹10.9 Lakhs,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
Avg. Salary - ₹17.4 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E.PG :Post Graduation Not Required
,"['RoleData Scientist', 'Industry TypeConsumer Electronics & Appliances', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeConsumer Electronics & Appliances', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeConsumer Electronics & Appliances', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹43.7 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹13.8 Lakhs,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹6.8 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹13.8 Lakhs,"['RoleData Scientist', 'Industry TypeTelecom / ISP', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Sc in PhysicsPG :MS/M.Sc(Science) in PhysicsDoctorate :Ph.D/Doctorate in Physics
Avg. Salary - ₹13.8 Lakhs,"['RoleData Scientist', 'Industry TypeTelecom / ISP', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :BCA in Computers, B.Sc in Computers, B.Tech/B.E. in ComputersPG :Any Postgraduate"
Avg. Salary - ₹13.8 Lakhs,"['RoleData Scientist', 'Industry TypeTelecom / ISP', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in Any SpecializationPG :M.Tech in Any SpecializationDoctorate :Ph.D/Doctorate in Any Specialization
Avg. Salary - ₹13.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate
,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹20.3 Lakhs,"['RoleData Scientist', 'Industry TypeInternet', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.ScPG :MS/M.Sc(Science), MBA/PGDM"
,,
,,
,,
Avg. Salary - ₹18.6 Lakhs,"['RoleData Scientist', 'Industry TypeElectrical Equipment', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
